,1.2.1_SI_POV_NAHC,1.3.1_SI_COV_PENSN,1.4.1_SP_ACS_BSRVH2O,1.4.1_SP_ACS_BSRVSAN,1.a.2_SD_XPD_ESED,10.4.1_SL_EMP_GTOTL,10.5.1_FI_FSI_FSLS,10.5.1_FI_FSI_FSKNL,10.5.1_FI_FSI_FSANL,10.5.1_FI_FSI_FSERA,10.a.1_TM_TRF_ZERO,10.b.1_DC_TRF_TOTL,11.6.2_EN_ATM_PM25,12.2.2_EN_MAT_DOMCMPC,12.2.2_EN_MAT_DOMCMPG,12.4.2_EN_EWT_GENPCAP,16.2.2_VC_HTF_DETV,16.3.2_VC_PRS_UNSEC,16.5.2_IC_FRM_BRIB,16.9.1_SG_REG_BRTH,2.1.1_SN_ITK_DEFC,2.2.1_SH_STA_STUNTN,2.2.1_SH_STA_STUNT,2.2.2_SH_STA_OVRWGTN,2.2.2_SH_STA_WASTEN,2.5.1_ER_GRF_ANIMRCNTN,2.a.1_AG_PRD_ORTIND,2.a.1_AG_XPD_AGSGB,2.a.1_AG_PRD_AGVAS,2.a.2_DC_TOF_AGRL,2.c.1_AG_FPA_CFPI,3.1.1_SH_STA_MMR,3.2.1_SH_DYN_IMRTN,3.2.1_SH_DYN_IMRT,3.2.1_SH_DYN_MORTN,3.2.1_SH_DYN_MORT,3.2.2_SH_DYN_NMRTN,3.2.2_SH_DYN_NMRT,3.3.1_SH_HIV_INCD,3.3.2_SH_TBS_INCID,3.3.4_SH_HAP_HBSAG,3.3.5_SH_TRP_INTVN,3.4.1_SH_DTH_NCOM,3.4.1_SH_DTH_RNCOM,3.4.2_SH_STA_SCIDEN,3.4.2_SH_STA_SCIDE,3.5.1_SH_SUD_ALCOL,3.5.2_SH_ALC_CONSPT,3.6.1_SH_STA_TRAF,3.7.1_SH_FPL_MTMM,3.7.2_SP_DYN_ADKL,3.8.2_SH_XPD_EARN10,3.8.2_SH_XPD_EARN25,3.9.1_SH_AAP_ASMORT,3.9.1_SH_HAP_ASMORT,3.9.2_SH_STA_WASH,3.9.3_SH_STA_POISN,3.b.1_SH_ACS_DTP3,3.b.1_SH_ACS_MCV2,3.b.1_SH_ACS_PCV3,3.b.2_DC_TOF_HLTHL,3.b.2_DC_TOF_HLTHNT,3.c.1_SH_MED_HEAWOR,4.1.1_SE_TOT_PRFL,4.1.2_SE_TOT_CPLR,4.5.1_SE_AGP_CPRA,4.5.1_SE_ALP_CPLR,4.5.1_SE_AWP_CPRA,4.b.1_DC_TOF_SCHIPSL,5.5.1_SG_GEN_LOCGELS,5.5.1_SG_GEN_PARL,5.5.2_IC_GEN_MGTL,6.2.1_SH_SAN_DEFECT,6.4.1_ER_H2O_WUEYST,6.4.2_ER_H2O_STRESS,6.5.1_ER_H2O_IWRMD,6.6.1_EN_WBE_PMPR,6.a.1_DC_TOF_WASHL,6.b.1_ER_H2O_RURP,7.1.1_EG_ELC_ACCS,7.1.2_EG_EGY_CLEAN,7.2.1_EG_FEC_RNEW,7.3.1_EG_EGY_PRIM,8.1.1_NY_GDP_PCAP,8.10.1_FB_ATM_TOTL,8.10.1_FB_CBK_BRCH,8.10.2_FB_BNK_ACCSS,8.2.1_SL_EMP_PCAP,8.6.1_SL_TLF_NEET,8.a.1_DC_TOF_TRDCML,8.a.1_DC_TOF_TRDDBML,9.1.2_IS_RDP_FRGVOL,9.1.2_IS_RDP_PFVOL,9.2.1_NV_IND_MANF,9.2.1_NV_IND_MANFPC,9.2.2_SL_TLF_MANF,9.3.2_FC_ACC_SSID,9.a.1_DC_TOF_INFRAL,9.b.1_NV_IND_TECH,9.c.1_IT_MOB_2GNTWK,9.c.1_IT_MOB_3GNTWK,9.c.1_IT_MOB_4GNTWK,Human Development Index
Afghanistan,54.5,10.7,73.43,47.58,15.66,44.57,90.69,3.48,8.89,0.78,51.77,3794.86,56.51,0.36,0.57,0.63,0.0,27.7,46.84,42.3,29.9,2139.35,38.19,230.37,287.42,0.0,0.16,3.44,20.45,265.08,0.4,638.0,38121.33,47.83,49518.67,62.23,44725.0,37.1,0.02,189.0,0.5,14834701.0,29.77,14163.33,1078.67,4.6,0.37,0.21,15.1,42.2,62.0,14.63,2.01,112.0,133.0,13.9,1.2,66.0,39.0,65.0,240.21,238.17,1.26,20.44,40.28,0.52,0.77,0.49,11.9,16.53,27.02,4.05,9.93,0.6,54.8,12.0,0.09,138.24,3.0,98.1,37.0,24.65,1.93,-3.98,1.61,2.25,14.86,-0.4,42.07,1018.98,714.32,2085332408.7,10644075630.41,11.32,68.8,7.7,2.38,469.75,9.51,90.0,55.0,7.0,0.478
Albania,14.4,77.0,90.92,97.63,8.44,53.14,19.93,15.01,11.08,1.2,70.21,687.3,18.02,1.79,0.37,7.45,95.0,44.5,19.54,98.4,3.6,19.99,11.32,28.95,2.8,0.0,0.14,2.6,18.39,35.51,0.3,15.0,178.67,7.83,201.33,8.8,222.0,6.5,0.1861999999999999,18.0,1.3,47.0,16.93,3520.5,122.67,6.3,5.97,7.16,13.6,6.3,15.9,16.72,4.95,41.0,31.0,0.2,0.43,99.0,96.0,98.0,8.96,6.73,15.11,52.78,84.97,0.96,0.91,0.61,6.56,43.61,29.51,22.61,0.0,6.27,7.05,43.0,1.91,25.32,3.0,100.0,80.0,37.19,2.91,4.11,30.64,19.54,40.05,2.9,31.4,210.79,249.26,1166185229.35,12728925293.43,6.31,286.7,10.1,20.89,363.75,4.47,99.86,99.2,85.5,0.796
Algeria,5.37,63.6,92.56,86.49,11.43,46.34,47.45,39.35,12.7,2.42,64.49,981.35,34.84,1.59,0.33,7.11,28.0,12.3,24.179799999999997,99.6,2.8,502.51,11.69,533.67,176.54,0.0,0.39,3.65,9.34,11.07,-0.3,112.0,13727.33,20.1,15966.67,23.47,14897.0,14.6,0.03,69.0,0.2,10909.0,14.2,18115.58,866.0,3.2,0.77,0.94,21.0,74.7,9.7,8.205299999999996,1.3279000000000003,43.0,8.0,1.9,0.77,91.0,77.0,91.0,0.29,0.29,10.2,18.14,60.08,1.23,0.97,0.57,20.73,17.59,25.76,8.36,1.08,14.36,129.25,48.0,0.02,4.33,2.36,100.0,95.0,0.14,4.05,-0.62,9.2,5.22,42.77,1.3,21.2,37.17,18.04,5646270506.63,59642949654.69,4.54,190.4,10.7,33.706699999999984,6.11,2.69,98.04,97.45,52.84,0.745
Angola,37.87,14.5,51.51,45.81,8.68,47.31,27.82,25.76,23.24,4.28,42.87,-986.36,28.18,1.14,0.34,4.15,7.0,48.0,51.3,25.0,18.6,1950.83,37.57,175.17,255.52,0.0,0.04,0.43,9.66,28.76,-1.9,241.0,42444.67,51.5,62547.33,77.1,35780.0,28.5,1.11,355.0,4.9,15220708.0,16.57,6163.0,897.67,4.73,6.1,7.03,23.6,29.8,163.0,12.38,4.54,56.0,78.0,48.8,2.7,59.0,35.0,67.0,45.39,43.99,1.71,28.97139999999999,29.25,0.59,0.57,0.04,3.29,24.522199999999987,30.0,29.76,25.25,151.74,1.9,37.0,0.07,24.07,0.0,38.2,48.0,56.16,3.41,-4.38,18.92,9.49,29.26,-4.0,9.93,159.19,42.91,2480734548.6,25423633801.43,8.31,283.9,2.4,2.45,23.31,3.37,90.0,85.0,8.0,0.586
Antigua and Barbuda,19.7998,83.67,96.74,87.5,6.93,50.49110000000002,62.83,26.51,6.35,1.35,56.49,17.66,17.98,0.64,0.05,12.67,8.0,43.7,6.88,98.164,5.071000000000002,275.40109999999993,9.855499999999996,243.85569999999998,81.06039999999996,0.0,0.46,0.79,1.73,0.08,-1.1359999999999995,42.0,4.67,5.0,6.67,6.43,5.0,3.4,2.954199999999999,6.0,0.4,1201.0,22.6,71.17,0.0,0.47,6.67,6.51,7.9,48.418,27.7,8.745700000000005,1.3152999999999995,29.0,2.0,0.1,0.37,95.0,95.0,68.08,0.0,0.0,19.24,58.85979999999999,74.4594,1.0190999999999995,0.8839,0.5591,0.08,66.67,11.11,45.06,0.26,112.24,8.5,30.0,7.57,0.01,0.0,100.0,95.0,0.6,3.24,6.43,66.64,23.99,80.42359999999998,-1.9500000000000002,21.4648,0.12,4.81,73622.8,588820426.37,2.41,409.8,4.6,50.0,4.61,17.442699999999988,99.0,99.0,99.0,0.788
Argentina,15.2,100.0,97.23,88.96,13.26,58.53,60.13,-2.44,3.11,5.39,68.18,8584.27,11.75,2.84,0.27,10.31,97.0,46.2,9.27,99.5,3.8,295.61,7.9,374.19,59.87,0.0,0.07,0.41,6.14,45.12,-0.5539999999999998,39.0,4448.67,8.8,5000.0,9.9,4802.0,6.4,0.15,27.0,0.0,162233.0,15.9,33390.5,2686.67,9.27,6.87,9.77,14.0,78.37899999999995,54.4,16.9,4.7,24.0,3.0,0.4,0.63,86.0,89.0,88.0,11.39,0.97,20.05,54.71,83.48,1.09,0.8814000000000004,0.78,4.08,39.89310000000001,40.86,32.56,3.86,13.66,10.5,38.0,1.1,41.34,1.0,100.0,95.0,11.24,4.28,-3.45,58.98,13.48,48.65,-3.5,19.0,94.04,80.48,25860721099.32,72111544231.96,13.12,1803.8,11.7,42.19,529.19,26.0,98.0,95.0,90.76,0.842
Armenia,28.53,78.3,99.93,92.2,10.4,46.34,119.49,8.54,4.75,1.21,79.32,401.19,31.67,1.96,0.44,5.82,9.0,35.6,7.07,99.3,2.6,20.1,9.4,29.26,9.47,0.0,0.13,1.83,13.7,55.67,1.0,26.0,305.33,11.0,344.0,12.37,266.0,6.5,0.08,31.0,0.3,39149.0,22.73,3748.25,128.0,6.73,5.93,5.75,17.1,40.2,21.2,16.05,4.87,51.0,5.0,0.2,0.63,92.0,96.0,92.0,9.33,5.94,27.79,52.37,72.43,0.87,0.46,0.42,4.91,9.04,23.48,28.71,0.0,3.26,50.35,36.0,4.68,65.22,2.19,100.0,95.0,12.46,5.18,4.99,64.11,23.6,48.14,5.3,36.6,47.41,103.23,749601703.0,7330640403.4,10.09,432.2,9.1,15.12,242.12,4.62,100.0,100.0,99.1,0.759
Australia,14.8808,71.2,99.98,99.99,13.77,57.23,41.93,7.82,0.93,1.33,54.34,1685.8305000000003,7.24,6.71,0.1,21.68,21.0,31.6,4.719700000000003,100.0,2.5,26.56,2.0,351.0,0.0,0.0,0.22,0.56,2.57,40.755799999999994,-0.29300000000000004,6.0,658.67,3.1,780.67,3.7,723.0,2.3,0.04,6.6,0.2,20123.0,9.1,17713.83,2124.67,13.23,4.4,10.55,5.6,77.31899999999999,10.1,3.71,0.5,8.0,5.07,0.1,0.2,95.0,93.0,95.0,29.67380000000001,29.880499999999998,44.26,77.49,91.31,1.04,0.9841000000000001,0.89,6.529599999999996,33.92,30.46,37.8,0.0,71.79,6.2,86.0,0.17,58.622700000000016,2.08,100.0,95.0,9.54,4.82,0.67,146.12,28.21,99.52,0.8,8.83,355.3427,362.2088999999999,179401080128.34,96281730464.8,5.23,2835.5,8.0,41.34110000000001,446.765,28.2,99.4,99.4,99.0,0.951
Austria,15.073700000000006,99.6,100.0,99.98,10.95,60.87,68.17,7.95,1.88,0.76,68.01,2374.4988999999982,12.76,2.78,0.06,18.8,72.0,20.9,4.1274000000000015,100.0,2.5,262.51590000000004,4.6690000000000005,164.78689999999997,80.48739999999992,5.0,0.5031000000000002,1.8825999999999998,1.9330000000000007,41.7321,0.0,5.0,168.67,2.87,204.0,3.53,185.0,2.1,0.045399999999999975,7.1,0.3,41.0,11.43,10237.67,908.67,15.73,12.07,12.07,5.2,70.61099999999996,6.7,9.513300000000001,1.1095999999999997,15.0,5.2,0.1,0.23,85.0,84.0,85.14,29.110900000000004,29.424699999999998,16.79,80.84,93.46,0.99,1.04,0.87,10.058800000000005,23.09,39.34,31.59,0.0,100.53,9.6,91.0,0.77,71.80160000000005,3.0,100.0,95.0,33.25,3.5,1.6,169.28,11.94,98.16,0.9,6.83,370.58590000000004,368.55859999999996,12274938000.0,42886232333.33,17.62,8207.7,16.2,45.19290000000001,460.9069999999998,45.97,99.0,98.0,98.0,0.916
Azerbaijan,34.73,86.13,90.75,92.2,6.95,51.21,53.475300000000004,12.9245,8.0502,1.6714999999999998,66.14,616.86,18.36,1.72,0.3,7.96,70.0,15.5,15.88,93.6,2.5,143.91,17.77,113.95,25.58,0.0,0.48,2.62,5.25,6.84,1.0,26.0,2157.33,19.17,2431.33,21.5,1868.0,11.2,0.5138000000000001,63.0,0.3,1655112.0,22.33,7652.0,168.67,2.63,6.03,4.46,8.7,21.5,45.0,8.12,1.1,56.0,9.0,1.1,0.57,95.0,96.0,95.0,3.16,3.11,25.88,52.33,79.33,0.82,0.74,0.37,5.76,35.0,16.81,38.07,0.17,3.7,55.8,66.0,85.5,108.28,3.0,100.0,95.0,1.91,3.82,0.35,32.84,10.66,28.58,3.0,25.99580000000001,11.63,44.93,5787244261.7,22970594761.8,4.72,251.1,5.2,28.3,794.27,19.05,100.0,97.1,49.0,0.745
